trial,partner_choice,partner_reward,obs_randomized_img_order,self_randomized_img_order
0,0,0,2-0-1,1-0-2
1,1,0,2-1-0,2-0-1
2,2,1,1-2-0,2-0-1
3,2,1,2-0-1,2-0-1
4,2,1,1-2-0,2-0-1
5,2,1,1-0-2,0-2-1
6,2,1,1-2-0,2-1-0
7,2,1,1-2-0,2-0-1
8,2,1,2-0-1,1-2-0
9,2,1,2-1-0,0-2-1
10,2,1,0-1-2,2-0-1
11,2,1,2-1-0,2-0-1
12,2,1,2-1-0,1-0-2
13,2,1,2-1-0,2-0-1
14,2,1,2-1-0,1-0-2
15,2,1,0-1-2,2-1-0
16,2,1,2-1-0,0-1-2
17,2,1,0-1-2,0-2-1
18,2,1,2-1-0,0-2-1
19,2,1,0-2-1,1-2-0
20,2,0,2-1-0,2-0-1
21,2,1,0-1-2,0-2-1
22,2,1,0-2-1,1-2-0
23,2,0,2-0-1,0-1-2
24,2,1,1-2-0,1-2-0
25,2,1,2-1-0,1-0-2
26,2,0,1-0-2,0-2-1
27,2,1,2-0-1,2-1-0
28,2,1,1-2-0,1-0-2
29,2,1,2-1-0,0-1-2
