trial,partner_choice,partner_reward,obs_randomized_img_order,self_randomized_img_order
0,0,1,0-1-2,2-1-0
1,0,1,2-0-1,0-1-2
2,0,1,1-0-2,1-2-0
3,0,1,2-0-1,1-0-2
4,0,0,0-2-1,0-2-1
5,0,0,2-1-0,1-2-0
6,2,1,0-2-1,2-1-0
7,2,1,0-1-2,0-1-2
8,2,1,1-2-0,2-0-1
9,2,1,0-1-2,2-1-0
10,2,0,2-1-0,2-1-0
11,1,1,2-1-0,1-0-2
12,2,1,2-0-1,2-1-0
13,2,1,0-2-1,0-1-2
14,2,0,2-1-0,0-1-2
15,1,0,2-1-0,0-1-2
16,2,1,2-1-0,0-1-2
17,2,1,0-2-1,0-2-1
18,2,1,2-0-1,1-0-2
19,2,1,0-1-2,1-0-2
20,2,1,1-2-0,1-2-0
21,2,0,0-1-2,2-1-0
22,0,0,1-2-0,2-0-1
23,2,0,1-0-2,0-1-2
24,1,1,2-1-0,0-2-1
25,1,1,0-2-1,0-2-1
26,1,0,2-0-1,1-2-0
27,1,0,2-1-0,1-0-2
28,1,0,1-2-0,1-2-0
29,0,0,2-1-0,0-1-2
