block,arm_img_0,arm_img_1,arm_img_2,partner_face_image,trial_path
0,choices/choice52.png,choices/choice53.png,choices/choice54.png,faces/female/1.png,conditions/2/trial_middle_exp_0.csv
1,choices/choice43.png,choices/choice1.png,choices/choice18.png,faces/female/3.png,conditions/2/trial_low_exp_2.csv
2,choices/choice14.png,choices/choice31.png,choices/choice48.png,faces/female/5.png,conditions/2/trial_high_exp_2.csv
3,choices/choice50.png,choices/choice10.png,choices/choice29.png,faces/female/2.png,conditions/2/trial_low_exp_1.csv
4,choices/choice25.png,choices/choice24.png,choices/choice26.png,faces/female/4.png,conditions/2/trial_high_exp_1.csv
