trial,partner_choice,partner_reward,obs_randomized_img_order,self_randomized_img_order
0,2,1,2-1-0,1-2-0
1,2,0,2-0-1,0-1-2
2,0,0,1-0-2,0-2-1
3,1,0,0-2-1,2-0-1
4,2,0,0-2-1,2-0-1
5,2,1,2-1-0,0-1-2
6,2,1,2-1-0,1-0-2
7,2,0,0-1-2,0-2-1
8,2,1,0-2-1,2-0-1
9,2,1,1-0-2,2-1-0
10,2,0,1-0-2,0-1-2
11,2,1,1-2-0,2-0-1
12,2,0,0-2-1,1-2-0
13,2,1,2-1-0,1-2-0
14,2,1,0-2-1,1-0-2
15,2,1,1-2-0,2-0-1
16,2,1,2-1-0,0-2-1
17,2,1,1-0-2,0-2-1
18,2,1,1-2-0,2-0-1
19,2,1,1-2-0,0-2-1
20,2,0,1-2-0,2-1-0
21,2,0,0-2-1,1-2-0
22,2,1,1-0-2,1-2-0
23,2,1,0-2-1,1-0-2
24,2,1,0-1-2,2-1-0
25,2,0,2-0-1,0-1-2
26,2,0,1-2-0,0-2-1
27,2,0,2-0-1,2-0-1
28,1,0,2-0-1,2-1-0
29,0,0,2-0-1,2-0-1
