trial,partner_choice,partner_reward,obs_randomized_img_order,self_randomized_img_order
0,1,1,0-2-1,0-2-1
1,1,1,1-2-0,0-1-2
2,1,0,1-2-0,2-0-1
3,0,0,0-2-1,0-1-2
4,1,0,0-2-1,2-0-1
5,2,0,0-2-1,1-0-2
6,2,1,2-0-1,0-1-2
7,2,0,1-0-2,1-0-2
8,1,1,2-1-0,0-2-1
9,2,1,1-2-0,1-0-2
10,1,1,1-0-2,2-0-1
11,1,0,0-1-2,2-1-0
12,2,1,2-1-0,1-2-0
13,2,1,2-1-0,2-0-1
14,2,1,1-0-2,2-1-0
15,2,1,2-1-0,1-2-0
16,2,0,1-2-0,2-1-0
17,2,1,1-0-2,0-2-1
18,2,0,1-2-0,2-1-0
19,2,1,2-0-1,2-0-1
20,2,1,0-1-2,1-2-0
21,2,1,0-2-1,2-1-0
22,2,1,2-0-1,2-0-1
23,2,0,0-2-1,1-0-2
24,2,1,1-0-2,2-1-0
25,2,1,2-1-0,2-1-0
26,2,1,2-0-1,2-0-1
27,2,1,0-2-1,0-1-2
28,2,1,2-0-1,2-0-1
29,2,0,1-0-2,2-1-0
