trial,partner_choice,partner_reward,obs_randomized_img_order,self_randomized_img_order
0,2,1,2-1-0,0-1-2
1,2,1,2-1-0,1-2-0
2,2,1,0-1-2,2-0-1
3,2,1,1-2-0,2-1-0
4,2,1,0-2-1,0-1-2
5,2,1,2-0-1,2-1-0
6,2,1,2-0-1,2-0-1
7,2,1,2-0-1,0-1-2
8,2,1,0-2-1,0-2-1
9,2,1,0-2-1,2-0-1
10,2,1,1-0-2,1-0-2
11,2,1,1-0-2,0-2-1
12,2,0,1-2-0,2-0-1
13,2,1,0-1-2,0-2-1
14,2,1,1-0-2,1-0-2
15,2,1,0-2-1,1-2-0
16,2,1,1-0-2,1-0-2
17,2,1,1-0-2,0-2-1
18,2,1,2-0-1,2-1-0
19,2,1,2-1-0,1-0-2
20,2,1,1-0-2,2-0-1
21,2,0,0-1-2,2-1-0
22,2,0,2-1-0,0-2-1
23,1,1,2-1-0,2-1-0
24,1,0,1-0-2,1-2-0
25,2,0,1-0-2,1-2-0
26,1,1,0-2-1,1-0-2
27,0,0,2-0-1,2-0-1
28,1,0,2-1-0,0-1-2
29,1,1,1-0-2,2-1-0
