trial,partner_choice,partner_reward,obs_randomized_img_order,self_randomized_img_order
0,1,1,0-1-2,0-1-2
1,1,0,1-0-2,0-2-1
2,1,0,1-2-0,1-0-2
3,2,1,1-0-2,0-2-1
4,2,1,0-2-1,2-1-0
5,2,0,0-2-1,0-2-1
6,2,1,0-1-2,0-1-2
7,2,1,0-2-1,0-1-2
8,2,1,0-2-1,1-0-2
9,2,0,1-2-0,1-2-0
10,2,0,0-1-2,1-0-2
11,0,0,0-1-2,2-0-1
12,2,1,1-0-2,0-2-1
13,2,0,1-2-0,2-1-0
14,2,0,1-2-0,0-1-2
15,1,0,1-0-2,0-1-2
16,1,0,1-2-0,2-1-0
17,0,0,1-0-2,0-2-1
18,2,0,2-1-0,0-1-2
19,0,0,2-0-1,0-1-2
20,1,0,2-0-1,0-2-1
21,0,0,2-1-0,1-2-0
22,2,1,2-1-0,1-2-0
23,2,1,0-1-2,2-1-0
24,2,1,2-1-0,0-1-2
25,2,1,1-2-0,0-1-2
26,2,0,2-0-1,1-2-0
27,2,1,2-0-1,0-2-1
28,2,0,1-2-0,1-2-0
29,2,1,2-1-0,0-2-1
