TrialNumber	trial	partner_choice	partner_reward	obs_randomized_img_order	self_randomized_img_order	ran	order	other_fix_on	t_other_options	t_other_choice	t_other_outcome	self_choice_on	self_choice	self_highlight_on	self_fix_on	self_options_on
1	0	0	0	0,1,2	1,2,0	1.0	0.0	0.0016335416657966562	1.0677711666648975	2.0715566250000848	3.078725500003202				4.081606624997221	5.097275749998516
2	1	2	1	2,1,0	0,1,2	1.0	1.0	8.103954166661424	9.160563999997976	10.164051500003552	11.170080541662173	15.510007541663072	2	15.513632875001349	12.172694458335172	13.185329624997394
3	2	2	1	0,1,2	0,2,1	1.0	2.0	16.51990020833182	17.576277500003926	18.580025125003885	19.58521325000038				20.587681083336065	21.60117891666596
