trial,partner_choice,partner_reward,obs_randomized_img_order,self_randomized_img_order
0,0,0,"2,0,1","1,0,2"
1,2,1,"1,2,0","2,1,0"
2,2,1,"1,2,0","2,1,0"
3,2,1,"1,0,2","0,1,2"
4,2,0,"2,1,0","1,0,2"
5,1,1,"2,1,0","0,1,2"
6,1,0,"1,0,2","1,0,2"
7,2,1,"2,1,0","0,2,1"
8,2,1,"0,2,1","2,1,0"
9,2,1,"1,2,0","1,2,0"
10,2,1,"0,2,1","1,0,2"
11,2,0,"0,2,1","0,2,1"
12,2,0,"1,2,0","2,1,0"
13,1,0,"2,1,0","1,2,0"
14,2,0,"2,0,1","0,2,1"
15,1,0,"2,0,1","0,2,1"
16,0,0,"2,1,0","1,0,2"
17,0,0,"0,1,2","0,2,1"
18,1,1,"0,2,1","0,2,1"
19,1,1,"2,0,1","0,2,1"
20,1,0,"1,2,0","1,0,2"
21,1,0,"2,0,1","1,0,2"
22,1,0,"0,2,1","2,0,1"
23,2,1,"0,2,1","0,2,1"
24,2,1,"1,2,0","0,2,1"
25,2,1,"2,0,1","2,0,1"
26,2,1,"1,2,0","1,0,2"
27,2,0,"0,1,2","2,1,0"
28,2,1,"0,2,1","2,0,1"
29,2,1,"0,2,1","1,2,0"
