trial,partner_choice,partner_reward,obs_randomized_img_order,self_randomized_img_order
0,1,0,"0,1,2","1,2,0"
1,2,1,"2,1,0","1,2,0"
2,2,1,"0,2,1","2,1,0"
3,2,0,"0,1,2","2,0,1"
4,2,1,"2,1,0","1,2,0"
5,2,1,"0,2,1","0,2,1"
6,2,0,"2,1,0","2,1,0"
7,0,1,"1,0,2","1,0,2"
8,0,0,"0,1,2","2,1,0"
9,2,0,"0,1,2","0,2,1"
