trial,partner_choice,partner_reward,obs_randomized_img_order,self_randomized_img_order
0,1,1,0-1-2,0-1-2
1,1,1,1-0-2,2-0-1
2,1,1,1-0-2,0-1-2
3,1,0,1-2-0,0-1-2
4,0,0,1-2-0,0-1-2
5,1,1,2-1-0,1-2-0
6,1,0,1-0-2,2-0-1
7,1,1,2-0-1,0-1-2
8,1,0,1-2-0,1-2-0
9,2,1,0-2-1,2-0-1
10,2,0,2-0-1,0-2-1
11,2,1,2-1-0,2-1-0
12,2,1,2-1-0,2-1-0
13,2,1,0-2-1,0-2-1
14,2,0,2-0-1,2-1-0
15,2,1,0-1-2,0-2-1
16,2,1,1-0-2,1-0-2
17,2,0,1-2-0,2-1-0
18,2,1,0-2-1,1-2-0
19,2,1,0-2-1,1-0-2
20,2,1,1-0-2,2-1-0
21,2,1,1-0-2,1-0-2
22,2,0,1-2-0,0-2-1
23,2,1,0-2-1,0-1-2
24,2,1,0-1-2,0-2-1
25,2,0,0-1-2,1-2-0
26,2,0,2-1-0,2-0-1
27,1,0,2-0-1,0-1-2
28,2,1,0-2-1,1-2-0
29,2,1,1-2-0,2-1-0
